"","response","email","date","site","initials","number","camera","first_photo","gps_n","gps_w","slope","aspect","height_ft","seedling_or_adult","dbh_cm","adult_crown_class","adult_dead_or_alive","dead_adult_base_epicormics","dead_adult_trunk_epicormics","dead_adult_canker_presence","dead_adult_canker_base","dead_adult_canker_1st9ft","dead_adult_canker_1stlivebranch","dead_adult_girdle","producing_seed","adult_percent_live_canopy","live_adult_base_epicormics","live_adult_trunk_epicormics","live_adult_canker_presence","live_adult_callus_presence","live_adult_canker_base","live_adult_canker_1st9ft","live_adult_canker_1stlivebranch","live_adult_girdle","live_adult_purdue_canker_rating","live_adult_purdue_canopy_ranking","densi_n","densi_e","densi_s","densi_w","basal_diameter_mm","seedling_damage","seedling_previous_stem_count","seedling_germ_yr","seedling_dead_or_alive","dead_seedling_canker_presence","seedling_percent_live_canopy","live_seedling_canker_presence","live_seedling_callus_presence","seedling_canker_base","seedling_canker_stem","seedling_girdle","seed_count","seed_bunch_size","terminal_bud","leaf_scar","lenticels","twig_hairs","riparian_or_upland","associate_trees","competition","other_competition","last_photo","notes","hybrid_visibility","Column.67","IGNORE.1","Ignore.2","ignore.3","ignore.4","ignore.5","ignore.6","ignore.7","ignore.8","Column.77","hickory","dogwood","black.walnut","white.pine","red.cedar","white.cedar","malus","buckthorn","ash","elm","mulberry","basswood","sumac","honeysuckle","elderberry","prunus","lilac","boxelder","maple","hackberry","butternut","oak","poplar","hazelnut","beech","gooseberry","spruce","birch","seedling_damage.1","Column.105"
"39",178,"kyliereroth@gmail.com","9/7/2025","ILM","BU","161","SonyHX90V",2651,44.88333,-73.3273,1,"E",6,"Adult",1.2,"Suppressed","Alive","","","",NA,NA,NA,NA,"No",100,"N","N","Y","NA - no large cankers present",0,NA,0,0,1,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","0","0","upland","red cedar, honeysuckle, malus","None apparent","",2660,"collected by catherine","Y",NA,"red cedar","honeysuckle","malus","","","","","",NA,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"40",179,"kyliereroth@gmail.com","9/7/2025","ILM","BU","163","SonyHX90V",2615,44.88349,-73.3271,1,"E",3.81,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,82,11,16,63,16.29,"",2,2023,"Alive","",100,"Y","N",40,0,45,"","",NA,"0","0","0","upland","red cedar, butternut, bitternut hickory","None apparent","",2622,"collected by emma","Y",NA,"red cedar","butternut","hickory","","","","","",NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"41",180,"kyliereroth@gmail.com","9/9/2025","ILM","BU","168","SonyHX90V",3316,44.88302,-73.3271,0,"",19,"Adult",3.6,"Suppressed","Dead","N","N","Y",75,45,45,75,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, red cedar, buckthorn, elm, ash, hickory","None apparent","",3325,"collected by kylie","N",NA,"butternut","red cedar","buckthorn","elm","ash","hickory","","",NA,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"42",181,"kyliereroth@gmail.com","9/9/2025","ILM","BU","169","SonyHX90V",3326,44.88303,-73.3271,0,"",24,"Adult",18.3,"Dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",10,"N","N","Y","Yes",40,25,25,36,2.5,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","ash, butternut, elm, red cedar, hickory, maple","None apparent","",3336,"collected by kylie","N",NA,"ash","butternut","elm","red cedar","hickory","maple","","",NA,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"",""
"43",306,"cdellolio@mortonarb.org","9/10/2025","ILM","Bu","173","SonyHX90V",3925,44.88559,-73.3296,0,"",39,"Adult",46.3,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",15,"Y","Y","Y","Yes",45,NA,15,45,2.5,4.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","buckthorn, red cedar, ash, dogwood","None apparent","",3936,"Dead epi. from base. collected by kylie","N",NA,"buckthorn","red cedar","ash","dogwood","","","","",NA,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"44",95,"cdellolio@mortonarb.org","9/10/2025","ILM","Bu","175","SonyHX90V",3937,44.88634,-73.3292,0,"",49,"Adult",32.9,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",30,"N","Y","Y","Yes",45,20,25,35,2.5,5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","Basswood, ash, elm, cherry, bitternut hickory, birch","None apparent","",3943,"The epicormic from the trunk is dead, and the main trunk splits low. collected by Kylie","N",NA,"basswood","ash","elm","prunus","hickory","birch","","",NA,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"",""
"45",98,"cdellolio@mortonarb.org","9/10/2025","ILM","Bu","176","SonyHX90V",3944,44.8863,-73.3274,1,"W",31,"Adult",13.7,"Co-dominant","Alive","","","",NA,NA,NA,NA,"No",55,"N","N","Y","Yes",1,5,3,5,2,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","Ash, elm","None apparent","",3951,"collected by Kylie","N",NA,"ash","elm","","","","","","",NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"46",182,"kyliereroth@gmail.com","9/9/2025","ILM","BU","182","SonyHX90V",3337,44.88276,-73.3271,4,"N",38,"Adult",31.6,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",75,"N","N","Y","Yes",45,85,70,95,4.5,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","elm, red cedar, maple, ash, basswood, white cedar","None apparent","",3344,"collected by kylie","N",NA,"elm","red cedar","maple","ash","basswood","white cedar","","",NA,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",""
"47",183,"kyliereroth@gmail.com","9/5/2025","ILM","BU","192","SonyHX90V",2359,44.886847,-73.330196,0,"",55,"Adult",55.2,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",80,"N","N","Y","Yes",25,2,1,15,1,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","bitternut hickory, ash, shagbark hickory, basswood","None apparent","",2366,"dead epicormic from the trunk, collected by kylie ","N",NA,"hickory","ash","hickory","basswood","","","","",NA,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"48",184,"kyliereroth@gmail.com","9/5/2025","ILM","BU","193","SonyHX90V",2346,44.88669,-73.3302,0,"",48,"Adult",34.1,"Intermediate","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",70,"N","Y","Y","Yes",1,5,2,5,1,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","0","0","upland","bitternut hickory, ash, basswood, boxelder, maple, shagbark, hickory, elm","Vines on the tree","",2358,"collected by kylie ","Y",NA,"hickory","ash","basswood","boxelder","maple","","hickory","elm",NA,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"",""
"49",185,"kyliereroth@gmail.com","9/6/2025","ILM","BU","195","SonyHX90V",2396,44.883961,-73.326787,1,"E",25,"Adult",6.8,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",75,"Y","N","Y","Yes",55,75,70,70,4,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","0","Unsure","upland","butternut, red cedar, ash, buckthorn","None apparent","",2408,"snapped at ~8ft up, collected by emma","Y",NA,"butternut","red cedar","ash","buckthorn","","","","",NA,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"50",186,"kyliereroth@gmail.com","9/6/2025","ILM","BU","196","SonyHX90V",2389,44.88401,-73.3268,1,"E",22,"Adult",11.6,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",95,"N","N","Y","Yes",10,20,15,40,2.5,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","basswood, red cedar, butternut, buckthorn, ash","None apparent","",2395,"collected by emma","N",NA,"basswood","red cedar","butternut","buckthorn","ash","","","",NA,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"51",187,"kyliereroth@gmail.com","9/11/2025","ILM","BU","197","SonyHX90V",4288,44.88504,-73.3307,0,"",1.9,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,80,89,30,29,11.8,"",0,2023,"Alive","",85,"N","",NA,NA,NA,"","",NA,"0","0","0","upland","red cedar, ash, bitternut hickory, white pine, oak, buckthorn, white cedar, dogwood","None apparent","",4298,"collected by kylie","Y",NA,"red cedar","ash","hickory","white pine","oak","buckthorn","white cedar","dogwood",NA,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"",""
"52",188,"kyliereroth@gmail.com","9/11/2025","ILM","BU","198","SonyHX90V",4313,44.88373,-73.3315,3,"N",42,"Adult",32.9,"Dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",75,"N","N","Y","Yes",45,25,10,40,2,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","dogwood, honeysuckle, red cedar, ash, white cedar, maple, elderberry","None apparent","",4324,"collected by kylie","N",NA,"dogwood","honeysuckle","red cedar","ash","white cedar","maple","elderberry","",NA,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"",""
"53",189,"kyliereroth@gmail.com","9/5/2025","ILM","BU","199","SonyHX90V",2186,44.88373,-73.3324,2,"N",12,"Adult",4.6,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",95,"N","N","Y","Yes",0,NA,5,15,1,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","0","0","upland","red cedar, honeysuckle, buckthorn","None apparent","",2197,"collected by kylie","Y",NA,"red cedar","honeysuckle","buckthorn","","","","","",NA,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"54",190,"kyliereroth@gmail.com","9/5/2025","ILM","BU","200","SonyHX90V",2335,44.88388,-73.3336,0,"",50,"Adult",53.3,"Dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",90,"N","N","Y","Yes",45,5,3,40,1.5,1,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","elm, ash, red cedar, bitternut hickory, dogwood","None apparent","",2345,"collected by kylie","N",NA,"elm","ash","red cedar","hickory","dogwood","","","",NA,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"55",191,"kyliereroth@gmail.com","9/8/2025","ILM","BU","202","SonyHX90V",3109,44.88253,-73.3309,1,"N",41,"Adult",33.6,"Dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",75,"N","N","Y","Yes",35,40,30,30,2.5,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","white cedar, malus, butternut, red cedar","None apparent","",3115,"collected by kylie","N",NA,"white cedar","malus","butternut","red cedar","","","","",NA,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"56",192,"kyliereroth@gmail.com","9/4/2025","ILM","BU","203","SonyHX90V",1794,44.88287,-73.3313,0,"",40,"Adult",57.3,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",80,"N","Y","Y","Yes",45,NA,30,50,3,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, red cedar, elm, white cedar, elderberry","Vines on the tree","",1800,"collected by kylie","N",NA,"butternut","red cedar","elm","white cedar","elderberry","","","",NA,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"57",193,"kyliereroth@gmail.com","9/4/2025","ILM","BU","204","SonyHX90V",1801,44.88283,-73.3314,0,"",43,"Adult",41.6,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",90,"N","N","Y","Yes",30,30,25,25,2.5,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","red cedar, ash, white cedar, butternut, elderberry, elm","Vines on the tree","",1806,"collected by kylie","N",NA,"red cedar","ash","white cedar","butternut","elderberry","elm","","",NA,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"58",194,"kyliereroth@gmail.com","9/4/2025","ILM","BU","205","SonyHX90V",1807,44.882768,-73.33151,0,"",43,"Adult",31.6,"Dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",10,"Y","Y","Y","Yes",35,40,30,70,3.5,3.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"Unsure","0","0","upland","white cedar, butternut, ash, elm, bitternut hickory, red cedar, buckthorn","Other","white cedar",1817,"collected by kylie","Y",NA,"white cedar","butternut","ash","elm","hickory","red cedar","buckthorn","",NA,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"59",195,"kyliereroth@gmail.com","9/4/2025","ILM","BU","206","SonyHX90V",1818,44.88284,-73.3313,0,"",42,"Adult",34.4,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",95,"N","N","Y","Yes",55,45,40,45,3,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","white cedar, butternut, ash, elderberry","Other","red cedar",1826,"more eastern/ closer to trail than 206A, collected by kylie","N",NA,"white cedar","butternut","ash","elderberry","","","","",NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"60",196,"kyliereroth@gmail.com","9/4/2025","ILM","BU","207","SonyHX90V",1835,44.88266,-73.3314,0,"",42,"Adult",33.2,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",90,"N","N","Y","Yes",60,45,30,75,3,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, white cedar, red cedar, ash, dogwood, elm","None apparent","",1843,"collected by catherine","N",NA,"butternut","white cedar","red cedar","ash","dogwood","elm","","",NA,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"61",197,"kyliereroth@gmail.com","9/8/2025","ILM","BU","212","SonyHX90V",3143,44.88281,-73.3309,0,"",28,"Adult",33.9,"Co-dominant","Dead","N","N","Y",60,40,50,60,"",NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","boxelder, red cedar, ash, white cedar, elm, butternut","None apparent","",3151,"collected by kylie","N",NA,"boxelder","red cedar","ash","white cedar","elm","butternut","","",NA,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"",""
"62",198,"kyliereroth@gmail.com","9/10/2025","ILM","BU","215","SonyHX90V",3780,44.88255,-73.331,0,"",3.04,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,90,31,21,55,12.6,"",0,2025,"Alive","",100,"N","",NA,NA,NA,"","",NA,"0","0","0","upland","white cedar, malus, ash, butternut, honeysuckle","None apparent","",3793,"is an epicormic from a stump, another is epicormic is present, we measured the larger one. collected by catherine","Y",NA,"white cedar","malus","ash","butternut","honeysuckle","","","",NA,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"63",199,"kyliereroth@gmail.com","9/8/2025","ILM","BU","216","SonyHX90V",2116,44.88251,-73.3309,1,"N",38,"Adult",22.3,"Intermediate","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",40,"Y","N","Y","Yes",45,30,20,40,2.5,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","0","0","upland","red cedar, butternut, white cedar, hickory","None apparent","",3124,"collected by kylie","Y",NA,"red cedar","butternut","white cedar","hickory","","","","",NA,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"64",200,"kyliereroth@gmail.com","9/8/2025","ILM","BU","217","SonyHX90V",3091,44.8825,-73.3308,2,"N",32,"Adult",24.8,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",50,"N","Y","Y","Yes",20,45,45,50,3,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","red cedar, white cedar, butternut, ash","None apparent","",3100,"collected by kylie","N",NA,"red cedar","white cedar","butternut","ash","","","","",NA,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"65",201,"kyliereroth@gmail.com","9/8/2025","ILM","BU","221","SonyHX90V",3101,44.88242,-73.3308,1,"N",38,"Adult",26.4,"Dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",55,"Y","N","Y","Yes",30,45,30,50,3,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"Unsure","0","0","upland","elderberry, red cedar, white cedar, butternut, dogwood, honeysuckle","None apparent","",3108,"collected by kylie","Y",NA,"elderberry","red cedar","white cedar","butternut","dogwood","honeysuckle","","",NA,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"66",202,"kyliereroth@gmail.com","9/8/2025","ILM","BU","222","SonyHX90V",3086,44.88237,-73.3307,1,"N",1.25,"Seedling",NA,"","","","","",NA,NA,NA,NA,"",NA,"","","","",NA,NA,NA,NA,NA,NA,5,92,81,78,3.97,"",0,2024,"Dead","N",NA,"","",NA,NA,NA,"","",NA,"","","","upland","ash, white cedar, dogwood, red cedar, elm","Nearby grasses or forbs","",3090,"collected by kylie","N",NA,"ash","white cedar","dogwood","red cedar","elm","","","",NA,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"67",203,"kyliereroth@gmail.com","9/8/2025","ILM","BU","223","SonyHX90V",3020,44.88228,-73.3308,1,"NE",40,"Adult",34.8,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",85,"Y","Y","Y","Yes",70,75,60,75,3.5,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","0","0","upland","white cedar, red cedar, butternut, dogwood, ash, shagbark hickory","None apparent","",3031,"collected by kylie","Y",NA,"white cedar","red cedar","butternut","dogwood","ash","hickory","","",NA,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"68",204,"kyliereroth@gmail.com","9/8/2025","ILM","BU","225","SonyHX90V",3000,44.88175,-73.3304,0,"",41,"Adult",40.9,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",70,"N","N","Y","Yes",20,10,10,15,1.5,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, white cedar, honeysuckle, red cedar, dogwood, malus, hickory","None apparent","",3009,"collected by kylie","N",NA,"butternut","white cedar","honeysuckle","red cedar","dogwood","malus","hickory","",NA,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"69",205,"kyliereroth@gmail.com","9/8/2025","ILM","BU","226","SonyHX90V",2990,44.88175,-73.3304,0,"",41,"Adult",35.6,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",65,"N","N","Y","Yes",15,15,10,15,1.5,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","butternut, white cedar, honeysuckle, red cedar, dogwood, malus, hickory","None apparent","",2999,"collected by kylie","N",NA,"butternut","white cedar","honeysuckle","red cedar","dogwood","malus","hickory","",NA,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"70",206,"kyliereroth@gmail.com","9/8/2025","ILM","BU","227","SonyHX90V",3161,44.88249,-73.3305,1,"NW",29,"Adult",23.5,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",15,"Y","N","Y","Yes",50,80,35,85,4,3.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"Unsure","0","0","upland","elderberry, butternut, ash, red cedar, white cedar","Vines on the tree","",3172,"collected by kylie","Y",NA,"elderberry","butternut","ash","red cedar","white cedar","","","",NA,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"71",207,"kyliereroth@gmail.com","9/8/2025","ILM","BU","228","SonyHX90V",3173,44.88245,-73.3305,1,"NW",28,"Adult",24.8,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",20,"Y","N","Y","Yes",75,65,70,75,4,3,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"Unsure","0","0","upland","elderberry, butternut, ash, red cedar, white cedar, bitternut hickory, boxelder","Vines on the tree","",3181,"collected by kylie","Y",NA,"elderberry","butternut","ash","red cedar","white cedar","hickory","boxelder","",NA,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"",""
"72",208,"kyliereroth@gmail.com","9/10/2025","ILM","BU","230","SonyHX90V",3727,44.88271,-73.3305,0,"",43,"Adult",34.7,"Dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",5,"N","N","Y","Yes",50,35,30,70,3.5,4,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","dogwood, buckthorn, red cedar, elm","None apparent","",3738,"collected by catherine","N",NA,"dogwood","buckthorn","red cedar","elm","","","","",NA,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"73",209,"kyliereroth@gmail.com","9/4/2025","ILM","BU","231","SonyHX90V",1704,44.88245,-73.3292,0,"",29,"Adult",25.1,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",5,"Y","N","Y","Yes",70,NA,85,95,5,5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"0","1","0","upland","elderberry, red cedar, bitternut hickory, elm, butternut, ash","None apparent","",1714,"collected by catherine","Y",NA,"elderberry","red cedar","hickory","elm","butternut","ash","","",NA,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"74",210,"kyliereroth@gmail.com","9/4/2025","ILM","BU","232","SonyHX90V",1696,44.88244,-73.3291,0,"",36,"Adult",32,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",50,"N","N","Y","Yes",45,65,60,65,3.5,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","bitternut hickory, butternut, elderberry, ash, red cedar","None apparent","",1703,"collected by catherine","N",NA,"hickory","butternut","elderberry","ash","red cedar","","","",NA,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"75",211,"kyliereroth@gmail.com","9/4/2025","ILM","BU","233","SonyHX90V",1676,44.88239,-73.329,0,"",35,"Adult",26.1,"Intermediate","Alive","","","",NA,NA,NA,NA,"No",25,"N","N","Y","Yes",65,55,55,80,3.5,2.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","ash, elderberry, bitternut hickory, red cedar, elm ","None apparent","",1687,"collected by catherine","N",NA,"ash","elderberry","hickory","red cedar","elm","","","",NA,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"76",212,"kyliereroth@gmail.com","9/4/2025","ILM","BU","234","SonyHX90V",1688,44.88237,-73.3291,0,"",43,"Adult",36.5,"Dominant","Alive","","","",NA,NA,NA,NA,"No",75,"N","N","Y","Yes",40,55,35,55,3.5,1.5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","red cedar, white cedar, bitternut hickory, butternut, elm, elderberry, ash","None apparent","",1695,"collected by catherine","N",NA,"red cedar","white cedar","hickory","butternut","elm","elderberry","ash","",NA,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"",""
"77",213,"kyliereroth@gmail.com","9/4/2025","ILM","BU","235","SonyHX90V",1727,44.88246,-73.3294,0,"",40,"Adult",39.2,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",60,"N","N","Y","Yes",45,60,60,50,3.5,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","elm, red cedar, bitternut hickory, dogwood","Vines on the tree","",1736,"collected by kylie","N",NA,"elm","red cedar","hickory","dogwood","","","","",NA,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"78",214,"kyliereroth@gmail.com","9/4/2025","ILM","BU","236","SonyHX90V",1737,44.88256,-73.3298,0,"",35,"Adult",34.6,"Co-dominant","Alive","","","",NA,NA,NA,NA,"Unknown (unable to see)",65,"N","N","Y","Yes",50,70,55,75,4,2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","",NA,"","","","upland","white cedar, red cedar, ash, bitternut hickory","None apparent","",1749,"collected by kylie","N",NA,"white cedar","red cedar","ash","hickory","","","","",NA,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
