SUM of impact_coefficient_with_height_and_direction,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
focal tree,alternate-leaf dogwood,american elm,ash spp,basswood,big tooth aspen,birch spp,bitternut hickory,black ash,black cherry,black walnut,box elder,buckthorn,butternut,cedar spp,elderberry,elm spp,green ash,hickory spp,honeysuckle,ironwood,lilac,malus,paper birch,pear spp,pin cherry,red cedar,red maple,serviceberry,shagbark hickory,slippery elm,sugar maple,white ash,white cedar,white oak,yellow birch,Grand Total,ignore,gps_n,gps_w,slope,aspect,height_ft,seedling_or_adult,dbh_cm,adult_crown_class,adult_dead_or_alive,dead_adult_base_epicormics,dead_adult_trunk_epicormics,dead_adult_canker_presence,dead_adult_canker_base,dead_adult_canker_1st9ft,dead_adult_canker_1stlivebranch,dead_adult_girdle,producing_seed,adult_percent_live_canopy,live_adult_base_epicormics,live_adult_trunk_epicormics,live_adult_canker_presence,live_adult_callus_presence,live_adult_canker_base,live_adult_canker_1st9ft,live_adult_canker_1stlivebranch,live_adult_girdle,live_adult_purdue_canker_rating,live_adult_purdue_canopy_ranking,densi_n,densi_e,densi_s,densi_w,basal_diameter_mm,seedling_damage,seedling_previous_stem_count,seedling_germ_yr,seedling_dead_or_alive,dead_seedling_canker_presence,seedling_percent_live_canopy,live_seedling_canker_presence,live_seedling_callus_presence,seedling_canker_base,seedling_canker_stem,seedling_girdle,seed_count,seed_bunch_size,terminal_bud,leaf_scar,lenticels,twig_hairs,riparian_or_upland,associate_trees,competition,other_competition,last_photo,notes,hybrid_visibility,Column 67,IGNORE-1,Ignore-2,ignore-3,ignore-4,ignore-5,ignore-6,ignore-7,ignore-8,Column 77,hickory,dogwood,black walnut,white pine,red cedar,white cedar,malus,buckthorn,ash,elm,mulberry,basswood,sumac,honeysuckle,elderberry,prunus,lilac,boxelder,maple,hackberry,butternut,oak,poplar,hazelnut,beech,gooseberry,spruce,birch
182,,19.64438762,0.4109589041,3.761633504,,,,,,,,0.9627727856,,,,,,,,,,,,,,47.0772109,,,,,36.66258821,,5.560085955,,,114.0796379,,44.88276,-73.3271,4,N,38,Adult,31.6,Co-dominant,Alive,,,,,,,,Unknown (unable to see),75,N,N,Y,Yes,45,85,70,95,4.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"elm, red cedar, maple, ash, basswood, white cedar",None apparent,,3344,collected by kylie,N,,elm,red cedar,maple,ash,basswood,white cedar,,,,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,,,1.152887637,17.11822639,,,,,,,,,4.122907778,,,,,,,,,,,,,67.13892601,,,1.643308942,,1.263858093,2.083408396,,,3.140557359,97.66408061,,44.88401,-73.3268,1,E,22,Adult,11.6,Intermediate,Alive,,,,,,,,No,95,N,N,Y,Yes,10,20,15,40,2.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"basswood, red cedar, butternut, buckthorn, ash",None apparent,,2395,collected by emma,N,,basswood,red cedar,butternut,buckthorn,ash,,,,,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,,,,,,,,,,,,2.281205674,,,,,,,0.9462365591,,,,,,,24.869083,,,,,,,,,,28.09652523,,44.88373,-73.3324,2,N,12,Adult,4.6,Intermediate,Alive,,,,,,,,No,95,N,N,Y,Yes,0,,5,15,1,1,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"red cedar, honeysuckle, buckthorn",None apparent,,2197,collected by kylie,Y,,red cedar,honeysuckle,buckthorn,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,,10.90561762,3.543696275,,,,,,,,,,20.73476607,2.748363833,,,,,,,,,,,,23.69016414,,,,,,,17.17361809,,,78.79622603,,44.88287,-73.3313,0,,40,Adult,57.3,Co-dominant,Alive,,,,,,,,Unknown (unable to see),80,N,Y,Y,Yes,45,,30,50,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, red cedar, elm, white cedar, elderberry",Vines on the tree,,1800,collected by kylie,N,,butternut,red cedar,elm,white cedar,elderberry,,,,,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
207,0.6107142857,,,,,,,,,,,,5.414660246,,,,,,0.3314206569,,,,,,,11.82091995,,,,,,,21.11888858,,,39.29660372,,44.88266,-73.3314,0,,42,Adult,33.2,Co-dominant,Alive,,,,,,,,Unknown (unable to see),90,N,N,Y,Yes,60,45,30,75,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, white cedar, red cedar, ash, dogwood, elm",None apparent,,1843,collected by catherine,N,,butternut,white cedar,red cedar,ash,dogwood,elm,,,,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
216,,,,,,,,,,,,1.298245614,32.69320453,,,,,,,,,,,,,35.41599212,,,,,,0.991114149,,,,70.39855641,,44.88251,-73.3309,1,N,38,Adult,22.3,Intermediate,Alive,,,,,,,,Unknown (unable to see),40,Y,N,Y,Yes,45,30,20,40,2.5,2,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"red cedar, butternut, white cedar, hickory",None apparent,,3124,collected by kylie,Y,,red cedar,butternut,white cedar,hickory,,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
223,0.595,,,,,0.4257911392,1.849865952,,,,,,5.052147239,,,,,,,,,,,,,,,,0.7411764706,,,,21.88994994,,,30.55393074,,44.88228,-73.3308,1,NE,40,Adult,34.8,Co-dominant,Alive,,,,,,,,Unknown (unable to see),85,Y,Y,Y,Yes,70,75,60,75,3.5,1.5,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"white cedar, red cedar, butternut, dogwood, ash, shagbark hickory",None apparent,,3031,collected by kylie,Y,,white cedar,red cedar,butternut,dogwood,ash,hickory,,,,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
226,0.5827949952,,,,,,1.710153547,,,,,,118.6405717,,,,,,,,,,,,,3.664399432,,,,,,,28.78885017,,,153.3867698,,44.88175,-73.3304,0,,41,Adult,35.6,Co-dominant,Alive,,,,,,,,Unknown (unable to see),65,N,N,Y,Yes,15,15,10,15,1.5,2.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, white cedar, honeysuckle, red cedar, dogwood, malus, hickory",None apparent,,2999,collected by kylie,N,,butternut,white cedar,honeysuckle,red cedar,dogwood,malus,hickory,,,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
228,,0.9882108183,,,,0.3520889488,13.47375169,,,,,,14.17247387,,,,,,,,,,,,,40.03143162,,,,,,,2.678571429,,,71.69652837,,44.88245,-73.3305,1,NW,28,Adult,24.8,Co-dominant,Alive,,,,,,,,Unknown (unable to see),20,Y,N,Y,Yes,75,65,70,75,4,3,,,,,,,,,,,,,,,,,,,NA,Unsure,0,0,upland,"elderberry, butternut, ash, red cedar, white cedar, bitternut hickory, boxelder",Vines on the tree,,3181,collected by kylie,Y,,elderberry,butternut,ash,red cedar,white cedar,hickory,boxelder,,,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
230,3.511519956,4.282363905,0.2936984246,,,,1.480571278,,,,,7.828918834,6.014518335,,,,,,,,,,,0.4053390108,,55.28265511,,,,,,,,,,79.09958485,,44.88271,-73.3305,0,,43,Adult,34.7,Dominant,Alive,,,,,,,,Unknown (unable to see),5,N,N,Y,Yes,50,35,30,70,3.5,4,,,,,,,,,,,,,,,,,,,,,,,upland,"dogwood, buckthorn, red cedar, elm",None apparent,,3738,collected by catherine,N,,dogwood,buckthorn,red cedar,elm,,,,,,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,,24.17086509,15.29660832,,,,1.166544387,,,,,1.272352633,6.29924021,,,,,,,,,,,,,105.7740573,,,,,,,,,,153.979668,,44.88245,-73.3292,0,,29,Adult,25.1,Intermediate,Alive,,,,,,,,No,5,Y,N,Y,Yes,70,,85,95,5,5,,,,,,,,,,,,,,,,,,,NA,0,1,0,upland,"elderberry, red cedar, bitternut hickory, elm, butternut, ash",None apparent,,1714,collected by catherine,Y,,elderberry,red cedar,hickory,elm,butternut,ash,,,,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
234,,15.59734595,8.516128864,,,,1.577022573,,,,,3.530865322,2.779384035,,,,,,,,,,,,,62.25563984,,,,,,0.9612403101,2.865671642,,,98.08329854,,44.88237,-73.3291,0,,43,Adult,36.5,Dominant,Alive,,,,,,,,No,75,N,N,Y,Yes,40,55,35,55,3.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, white cedar, bitternut hickory, butternut, elm, elderberry, ash",None apparent,,1695,collected by catherine,N,,red cedar,white cedar,hickory,butternut,elm,elderberry,ash,,,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
235,,5.203264209,4.921108059,,,,21.9265129,,,,,,4.033333333,,,,,,,,,,,,,63.77018982,,,,,,,,,,99.85440832,,44.88246,-73.3294,0,,40,Adult,39.2,Co-dominant,Alive,,,,,,,,Unknown (unable to see),60,N,N,Y,Yes,45,60,60,50,3.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"elm, red cedar, bitternut hickory, dogwood",Vines on the tree,,1736,collected by kylie,N,,elm,red cedar,hickory,dogwood,,,,,,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,1.003686636,0.4024489796,2.491099445,5.00478015,,,8.710144616,,,,,3.971349856,,,,,,,,,,,,,,47.18417378,,,,,,,8.328509317,,,77.09619278,,44.88256,-73.3298,0,,35,Adult,34.6,Co-dominant,Alive,,,,,,,,Unknown (unable to see),65,N,N,Y,Yes,50,70,55,75,4,2,,,,,,,,,,,,,,,,,,,,,,,upland,"white cedar, red cedar, ash, bitternut hickory",None apparent,,1749,collected by kylie,N,,white cedar,red cedar,ash,hickory,,,,,,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2.006607054,0.9439393939,2.784313725,,,,8.417060028,,,,,5.76208929,,,0.3136546185,,,,,,,,,,,61.18746178,,,,,,,1.475095785,,,82.89022168,,44.88261,-73.3302,0,,30,Adult,25.2,Co-dominant,Alive,,,,,,,,Unknown (unable to see),70,N,Y,Y,Yes,80,85,75,85,4,2,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, bitternut hickory, buckthorn, ash, elm",Vines on the tree,,3706,"epicormics dead, collected by catherine",N,,red cedar,hickory,buckthorn,ash,elm,,,,,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,,,,,,,,,,,2.326470588,8.809100529,,,,,,,,,,,,,,33.98889578,23.86958227,,,,,,,,,68.99404917,,44.8835,-73.3333,0,,15,Adult,4.5,Intermediate,Alive,,,,,,,,No,95,Y,N,Y,Yes,0,,20,45,1,1,,,,,,,,,,,,,,,,,,,NA,0,0,1,upland,"buckthorn, boxelder, red cedar, maple, ash",Other,red cedar,2305,collected by kylie ,Y,,buckthorn,boxelder,red cedar,maple,ash,,,,,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
587,,,12.89273485,,,,,,,,,1.625385518,,,,,,,,,,,,,,30.79988687,,,,,,,3.399141631,,,48.71714886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67a,,3.349940979,12.488346,,,,,,,,,,,,,,,,,,,1.8436253,,,,24.12549101,,,0.2104875418,,,,1.886601386,,,43.90449221,,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
Grand Total,21.61218389,291.0866689,560.2146495,175.7198004,1.228433402,5.079221341,120.5346089,31.00845253,25.9800617,5.892904481,5.929304938,68.79675038,340.101159,15.92341124,0.3136546185,3.999362282,0.5295429208,20.81861413,2.61750864,21.06193645,3.50055371,45.1389474,0.9639689579,0.4053390108,2.151664581,2796.953852,25.11638534,4.098690295,40.49100731,2.474111558,152.0515672,13.83336217,329.5097132,0.8597259339,3.140557359,5139.137675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
