SUM of impact coefficient,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
focal tree,alternate-leaf dogwood,american elm,ash spp,basswood,big tooth aspen,birch spp,bitternut hickory,black ash,black cherry,black walnut,box elder,buckthorn,butternut,cedar spp,elderberry,green ash,hickory spp,honeysuckle,ironwood,lilac,malus,paper birch,pin cherry,red cedar,red maple,serviceberry,shagbark hickory,slippery elm,sugar maple,white ash,white cedar,white oak,yellow birch,Grand Total,offset1,offset2,ignore,gps_n,gps_w,slope,aspect,height_ft,seedling_or_adult,dbh_cm,adult_crown_class,adult_dead_or_alive,dead_adult_base_epicormics,dead_adult_trunk_epicormics,dead_adult_canker_presence,dead_adult_canker_base,dead_adult_canker_1st9ft,dead_adult_canker_1stlivebranch,dead_adult_girdle,producing_seed,adult_percent_live_canopy,live_adult_base_epicormics,live_adult_trunk_epicormics,live_adult_canker_presence,live_adult_callus_presence,live_adult_canker_base,live_adult_canker_1st9ft,live_adult_canker_1stlivebranch,live_adult_girdle,live_adult_purdue_canker_rating,live_adult_purdue_canopy_ranking,densi_n,densi_e,densi_s,densi_w,basal_diameter_mm,seedling_damage,seedling_previous_stem_count,seedling_germ_yr,seedling_dead_or_alive,dead_seedling_canker_presence,seedling_percent_live_canopy,live_seedling_canker_presence,live_seedling_callus_presence,seedling_canker_base,seedling_canker_stem,seedling_girdle,seed_count,seed_bunch_size,terminal_bud,leaf_scar,lenticels,twig_hairs,riparian_or_upland,associate_trees,competition,other_competition,last_photo,notes,hybrid_visibility,Column 67,IGNORE-1,Ignore-2,ignore-3,ignore-4,ignore-5,ignore-6,ignore-7,ignore-8,Column 77,hickory,dogwood,black walnut,white pine,red cedar,white cedar,malus,buckthorn,ash,elm,mulberry,basswood,sumac,honeysuckle,elderberry,prunus,lilac,boxelder,maple,hackberry,butternut,oak,poplar,hazelnut,beech,gooseberry,spruce,birch
203,,0.17,,,,,,,,,,,0.27,,,,,,,,,,,0.30,,,,,,,0.26,,,1.00,,,,44.88287,-73.3313,0,,40,Adult,57.3,Co-dominant,Alive,,,,,,,,Unknown (unable to see),80,N,Y,Y,Yes,45,,30,50,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, red cedar, elm, white cedar, elderberry",Vines on the tree,,1800,collected by kylie,N,,butternut,red cedar,elm,white cedar,elderberry,,,,,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
207,0.02,,,,,,,,,,,,0.08,,,,,0.02,,,,,,0.32,,,,,,,0.56,,,1.00,,,,44.88266,-73.3314,0,,42,Adult,33.2,Co-dominant,Alive,,,,,,,,Unknown (unable to see),90,N,N,Y,Yes,60,45,30,75,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, white cedar, red cedar, ash, dogwood, elm",None apparent,,1843,collected by catherine,N,,butternut,white cedar,red cedar,ash,dogwood,elm,,,,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
216,,,,,,,,,,,,0.03,0.50,,,,,,,,,,,0.45,,,,,,0.02,,,,1.00,,,,44.88251,-73.3309,1,N,38,Adult,22.3,Intermediate,Alive,,,,,,,,Unknown (unable to see),40,Y,N,Y,Yes,45,30,20,40,2.5,2,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"red cedar, butternut, white cedar, hickory",None apparent,,3124,collected by kylie,Y,,red cedar,butternut,white cedar,hickory,,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
223,0.05,,,,,,0.06,,,,,,0.24,,,,,,,,,,,,,,0.03,,,,0.62,,,1.00,,,,44.88228,-73.3308,1,NE,40,Adult,34.8,Co-dominant,Alive,,,,,,,,Unknown (unable to see),85,Y,Y,Y,Yes,70,75,60,75,3.5,1.5,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"white cedar, red cedar, butternut, dogwood, ash, shagbark hickory",None apparent,,3031,collected by kylie,Y,,white cedar,red cedar,butternut,dogwood,ash,hickory,,,,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
226,0.01,,,,,,0.02,,,,,,0.69,,,,,,,,,,,0.02,,,,,,,0.26,,,1.00,,,,44.88175,-73.3304,0,,41,Adult,35.6,Co-dominant,Alive,,,,,,,,Unknown (unable to see),65,N,N,Y,Yes,15,15,10,15,1.5,2.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, white cedar, honeysuckle, red cedar, dogwood, malus, hickory",None apparent,,2999,collected by kylie,N,,butternut,white cedar,honeysuckle,red cedar,dogwood,malus,hickory,,,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
228,,0.02,,,,,0.20,,,,,,0.20,,,,,,,,,,,0.55,,,,,,,0.04,,,1.00,,,,44.88245,-73.3305,1,NW,28,Adult,24.8,Co-dominant,Alive,,,,,,,,Unknown (unable to see),20,Y,N,Y,Yes,75,65,70,75,4,3,,,,,,,,,,,,,,,,,,,NA,Unsure,0,0,upland,"elderberry, butternut, ash, red cedar, white cedar, bitternut hickory, boxelder",Vines on the tree,,3181,collected by kylie,Y,,elderberry,butternut,ash,red cedar,white cedar,hickory,boxelder,,,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
230,0.07,0.06,0.01,,,,0.02,,,,,0.12,0.05,,,,,,,,,,,0.67,,,,,,,,,,1.00,,,,44.88271,-73.3305,0,,43,Adult,34.7,Dominant,Alive,,,,,,,,Unknown (unable to see),5,N,N,Y,Yes,50,35,30,70,3.5,4,,,,,,,,,,,,,,,,,,,,,,,upland,"dogwood, buckthorn, red cedar, elm",None apparent,,3738,collected by catherine,N,,dogwood,buckthorn,red cedar,elm,,,,,,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,,0.12,0.07,,,,0.01,,,,,0.02,0.05,,,,,,,,,,,0.74,,,,,,,,,,1.00,,,,44.88245,-73.3292,0,,29,Adult,25.1,Intermediate,Alive,,,,,,,,No,5,Y,N,Y,Yes,70,,85,95,5,5,,,,,,,,,,,,,,,,,,,NA,0,1,0,upland,"elderberry, red cedar, bitternut hickory, elm, butternut, ash",None apparent,,1714,collected by catherine,Y,,elderberry,red cedar,hickory,elm,butternut,ash,,,,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
234,,0.17,0.02,,,,0.02,,,,,0.03,0.04,,,,,,,,,,,0.68,,,,,,0.01,0.02,,,1.00,,,,44.88237,-73.3291,0,,43,Adult,36.5,Dominant,Alive,,,,,,,,No,75,N,N,Y,Yes,40,55,35,55,3.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, white cedar, bitternut hickory, butternut, elm, elderberry, ash",None apparent,,1695,collected by catherine,N,,red cedar,white cedar,hickory,butternut,elm,elderberry,ash,,,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
235,,0.04,0.07,,,,0.27,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,1.00,,,,44.88246,-73.3294,0,,40,Adult,39.2,Co-dominant,Alive,,,,,,,,Unknown (unable to see),60,N,N,Y,Yes,45,60,60,50,3.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"elm, red cedar, bitternut hickory, dogwood",Vines on the tree,,1736,collected by kylie,N,,elm,red cedar,hickory,dogwood,,,,,,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,0.02,0.01,,0.06,,,0.12,,,,,0.04,,,,,,,,,,,,0.59,,,,,,,0.15,,,1.00,,,,44.88256,-73.3298,0,,35,Adult,34.6,Co-dominant,Alive,,,,,,,,Unknown (unable to see),65,N,N,Y,Yes,50,70,55,75,4,2,,,,,,,,,,,,,,,,,,,,,,,upland,"white cedar, red cedar, ash, bitternut hickory",None apparent,,1749,collected by kylie,N,,white cedar,red cedar,ash,hickory,,,,,,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,0.04,,0.03,,,,0.09,,,,,0.07,,,0.01,,,,,,,,,0.72,,,,,,,0.04,,,1.00,,,,44.88261,-73.3302,0,,30,Adult,25.2,Co-dominant,Alive,,,,,,,,Unknown (unable to see),70,N,Y,Y,Yes,80,85,75,85,4,2,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, bitternut hickory, buckthorn, ash, elm",Vines on the tree,,3706,"epicormics dead, collected by catherine",N,,red cedar,hickory,buckthorn,ash,elm,,,,,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,,,,,,,,,,,0.05,0.19,,,,,,,,,,,,0.58,0.18,,,,,,,,,1.00,,,,44.8835,-73.3333,0,,15,Adult,4.5,Intermediate,Alive,,,,,,,,No,95,Y,N,Y,Yes,0,,20,45,1,1,,,,,,,,,,,,,,,,,,,NA,0,0,1,upland,"buckthorn, boxelder, red cedar, maple, ash",Other,red cedar,2305,collected by kylie ,Y,,buckthorn,boxelder,red cedar,maple,ash,,,,,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
587,,,0.14,,,,,,,,,0.06,,,,,,,,,,,,0.72,,,,,,,0.08,,,1.00,,,,44.88567,-73.3293,0,,45,Adult,37.5,Dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,15,15,10,30,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"Buckthorn, red cedar, elm, ash",None apparent,,3924,collected by Kylie,N,,buckthorn,red cedar,elm,ash,,,,,,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67a,,,15.79%,,,,,,,,,,,,,,,,,,4.86%,,,68.12%,,,1.11%,,,,10.12%,,,100.00%,,,,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
Grand Total,0.86%,4.60%,7.28%,3.76%,0.03%,0.04%,2.33%,0.71%,0.63%,0.20%,0.14%,1.82%,6.77%,0.03%,0.02%,0.01%,0.27%,0.11%,0.55%,0.15%,0.32%,0.02%,0.07%,55.42%,0.15%,0.10%,0.94%,0.12%,3.28%,0.43%,8.77%,0.03%,0.06%,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
